Player,Team,Pos,GP,W%,K,D,A,KDA,KP,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,Gold%,WPM,WCPM,Split
LIDER,Misfits,Middle,12,33,41,57,34,1.3,52.8,24.8,42,-156,-336,-0.6,8.7,26.4,463,25.7,276.1,25,0.32,0.14,Summer Regular
MagiFelix,Fnatic,Middle,1,0,1,2,0,0.5,33.3,8,0,-104,-425,0,9.1,28.6,670,47.9,300.2,28.6,0.48,0.21,Summer Regular
Maxlore,Misfits,Jungle,5,20,5,14,24,2.1,72.5,20.6,0,-511,-245,-1,4.3,11.2,155,10.9,150.9,15,0.68,0.44,Summer Regular
Mickey,Excel Esports,Jungle,1,0,6,12,12,1.5,69.2,24.5,0,-1161,-844,-26,4.6,22,557,21.7,254.8,21.4,0.45,0.04,Summer Regular
Mickey,Excel Esports,Middle,15,27,48,43,41,2.1,60.5,19.6,7,0,-136,-4.9,8.9,29.1,439,27.9,270.7,26,0.45,0.18,Summer Regular
Mikyx,G2 Esports,Middle,1,100,12,7,13,3.6,51,25.9,0,789,651,19,6,20.1,1186,26.3,314.1,17.2,0.3,0.15,Summer Regular
Mikyx,G2 Esports,Support,17,82,22,41,188,5.1,66.2,21.9,18,48,-51,-5.4,0.8,2.8,287,13.3,156.1,11.6,1.34,0.32,Summer Regular
Mithy,Origen,Support,18,39,15,58,111,2.2,60.3,24.7,11,-4,57,6.7,1.5,4.8,147,8.4,104.6,9.2,1.37,0.34,Summer Regular
Mowgli,Vitality,Jungle,19,42,30,63,115,2.3,65.6,22.3,21,-13,107,5.4,4.4,11.1,214,12.2,166.5,14.7,0.81,0.46,Summer Regular
Mystiques,Excel Esports,Middle,1,0,6,8,6,1.5,46.2,16.3,0,-789,-651,-19,5.2,20.8,711,27.7,307.5,25.9,0.3,0,Summer Regular
Mystiques,Excel Esports,Support,13,31,14,46,63,1.7,54.6,23.2,15,-75,-77,-3.8,1.3,4.5,146,9.2,103.6,9.7,1.37,0.29,Summer Regular
Nemesis,Fnatic,ADC,2,50,17,9,13,3.3,68.2,17.6,50,278,-65,6.5,9.3,40.5,685,27.7,365.4,29,0.4,0.26,Summer Regular
Nemesis,Fnatic,Middle,15,80,70,32,101,5.3,64.8,16.4,13,340,24,3.5,9.3,28.6,534,26.6,342.1,26.1,0.49,0.22,Summer Regular
Nemesis,Fnatic,Top,1,100,3,0,8,11,57.9,0,0,576,-828,-9,8.9,29.1,460,22.4,346,24.1,0.73,0.08,Summer Regular
Neon,Misfits,ADC,6,33,13,19,29,2.2,54.5,16.7,33,180,356,-0.3,9.1,30.2,428,24.7,283.6,25.8,0.4,0.19,Summer Regular
Norskeren,Splyce,Support,18,67,18,58,169,3.2,72.8,25.6,33,106,-33,-1.7,1.2,4.2,180,10,125.7,10,1.39,0.39,Summer Regular
Nukeduck,Origen,Middle,18,39,56,41,64,2.9,57.4,17.4,11,-189,53,-2.2,9.1,27.8,439,24.4,283.2,25,0.41,0.14,Summer Regular
Odoamne,Schalke 04,Top,18,61,32,57,121,2.7,55.6,29.2,11,-159,-202,-4.2,7.4,21.4,387,20.5,234.3,19.7,0.46,0.16,Summer Regular
Patrik,Origen,ADC,18,39,59,38,76,3.6,64.6,16.2,11,-146,-193,-4.3,9.2,29.4,507,28.1,293.8,26.4,0.43,0.29,Summer Regular
Perkz,G2 Esports,ADC,17,82,89,32,100,5.9,59.6,17.1,24,85,160,5.3,9.8,33.8,535,24.5,349.1,26.6,0.38,0.25,Summer Regular
Perkz,G2 Esports,Support,1,100,2,4,28,7.5,61.2,14.8,0,374,520,-3,0.9,4.8,485,10.7,263.3,14.4,0.78,0.41,Summer Regular
Pirean,SK Gaming,Middle,12,25,21,44,52,1.7,65.2,25.3,33,-308,-339,-10.1,8.5,24.5,394,25.5,236.8,22.5,0.51,0.32,Summer Regular
Profit,Rogue,Top,12,33,23,24,54,3.2,56.2,17.6,33,-109,29,-4,7.5,24.2,325,20.7,216.3,20.8,0.44,0.15,Summer Regular
Rekkles,Fnatic,ADC,15,80,53,18,110,9.1,63.7,9.5,20,-220,-40,-3.4,9.9,32.1,480,23.9,328.3,25.1,0.53,0.38,Summer Regular
Rekkles,Fnatic,Support,2,100,7,7,38,6.4,66.2,18.9,50,120,-167,7.5,1.4,5,279,11.4,202.1,13.7,0.89,0.38,Summer Regular
Sacre,SK Gaming,Top,19,37,44,41,72,2.8,51.8,15.8,16,-129,-65,-5.2,8.2,25,410,22.2,246.7,22.4,0.56,0.17,Summer Regular
Selfmade,SK Gaming,Jungle,19,37,37,50,119,3.1,69.6,19.3,42,-9,-24,-0.5,4.8,13.1,259,14,180.3,16.3,0.62,0.4,Summer Regular
sOAZ,Misfits,Top,8,25,15,26,28,1.7,69.4,24.3,13,-14,-134,2.1,8,24.3,356,25.1,234.4,22.6,0.48,0.16,Summer Regular
Special,Excel Esports,Middle,2,0,2,5,1,0.6,50,16.1,0,-333,-327,-13.5,9,28.6,412,25.6,244.9,25.2,0.54,0.43,Summer Regular
Trick,Schalke 04,Jungle,18,61,52,41,136,4.6,68.4,21,22,-19,-173,-1.8,4.6,11.8,221,11.7,189.1,15.9,0.44,0.41,Summer Regular
Upset,Schalke 04,ADC,18,61,104,30,89,6.4,70.2,15.4,22,163,24,2.9,10.5,35.2,583,31.3,350.1,29.5,0.4,0.38,Summer Regular
Vander,Rogue,Support,18,39,23,53,129,2.9,65.5,22.3,28,-38,1,3.4,1.5,4.9,163,9.7,111.8,10.6,1.45,0.3,Summer Regular
Vizicsacsi,Splyce,Top,18,67,43,51,110,3,59.5,22.5,22,-8,-42,0.3,7.8,21.7,414,22.6,258.1,20.9,0.65,0.21,Summer Regular
Woolite,Rogue,ADC,16,38,49,52,82,2.5,61.8,23.5,19,-430,-268,-13.3,8.4,31.1,434,26.8,277.1,26.1,0.44,0.29,Summer Regular
Wunder,G2 Esports,Top,17,88,58,33,114,5.2,48.5,17.6,18,60,-7,4.4,7.9,22.5,456,19.4,275.1,20.1,0.41,0.13,Summer Regular
Wunder,G2 Esports,Middle,1,0,3,6,2,0.8,45.5,22.2,0,-827,-72,13,8.8,34.7,324,16,267.2,25.9,0.41,0.15,Summer Regular
Xerxe,Splyce,Jungle,18,67,36,32,140,5.5,68.5,14.1,39,22,38,-0.6,4.7,11.7,235,13.2,188.7,15.1,0.76,0.49,Summer Regular
